blog_id,post_id,slug,title,old_url,planned_301_target
6,1444,home,Home,https://thefivestar.com/mediakit/,/
6,12,who-are-we,Who Are We,https://thefivestar.com/mediakit/who-are-we/,/
6,85,values-our-promise-what-we-are,"Values, Our Promise, What We Are",https://thefivestar.com/mediakit/values-our-promise-what-we-are/,/
6,109,mission-vision-goal,"Mission, Vision, Goal",https://thefivestar.com/mediakit/mission-vision-goal/,/
6,133,who-do-we-serve,Who Do We Serve,https://thefivestar.com/mediakit/who-do-we-serve/,/
6,140,five-star-brands,Five Star Brands,https://thefivestar.com/mediakit/five-star-brands/,/
6,207,five-star-audience,Five Star Audience,https://thefivestar.com/mediakit/five-star-audience/,/
6,213,five-star-audience-2,Five Star Audience (Continued),https://thefivestar.com/mediakit/five-star-audience-2/,/
6,423,five-star-services,Five Star Services,https://thefivestar.com/mediakit/five-star-services/,/
6,520,volume-discount,Five Star Volume Discount,https://thefivestar.com/mediakit/volume-discount/,/
6,577,five-star-institute,Five Star Institute,https://thefivestar.com/mediakit/five-star-institute/,/
6,598,digital-advertising,Digital Advertising,https://thefivestar.com/mediakit/digital-advertising/,/
6,663,email-blasts,Email Blasts,https://thefivestar.com/mediakit/email-blasts/,/
6,817,sponsored-content,Sponsored Content,https://thefivestar.com/mediakit/sponsored-content/,/
6,827,reo-red-book,REO Red Book,https://thefivestar.com/mediakit/reo-red-book/,/
6,851,black-book,Black Book,https://thefivestar.com/mediakit/black-book/,/
6,898,top-5,Top 5,https://thefivestar.com/mediakit/top-5/,/
6,912,print-advertising,Print Advertising,https://thefivestar.com/mediakit/print-advertising/,/
6,944,newsletters,Newsletters,https://thefivestar.com/mediakit/newsletters/,/
6,1045,five-star-webinar-series,Five Star Webinar Series,https://thefivestar.com/mediakit/five-star-webinar-series/,/
6,1073,mp5,MP5,https://thefivestar.com/mediakit/mp5/,/
6,1127,inserts-and-bellybands,Inserts And Bellybands,https://thefivestar.com/mediakit/inserts-and-bellybands/,/
6,1164,anniversary-book,Anniversary Book,https://thefivestar.com/mediakit/anniversary-book/,/
6,1204,print-production-calendar,Print Production Calendar,https://thefivestar.com/mediakit/print-production-calendar/,/
6,1620,digital-advertising-continued,Digital Advertising (Continued),https://thefivestar.com/mediakit/digital-advertising-continued/,/
6,1884,five-star-webinar-series-continued,Five Star Webinar Series (Continued),https://thefivestar.com/mediakit/five-star-webinar-series-continued/,/
6,1956,mortagepoint-magazine,MortagePoint Magazine,https://thefivestar.com/mediakit/mortagepoint-magazine/,/
6,2272,contact-us,Contact Us,https://thefivestar.com/mediakit/contact-us/,/
