name,status,version,update
security_1778614475,inactive,2.73,none
eps-301-redirects,active,2.84,none
ads-for-visual-composer,active,2.0.0,none
advanced-ads,active,2.0.24,available
advanced-ads-pro,active,3.0.12,none
advanced-ads-responsive,active,2.0.5,none
advanced-ads-gam,active,3.0.4,none
advanced-ads-sticky-ads,active,2.0.5,none
advanced-ads-tracking,active,3.0.12,none
aioseo-eeat,inactive,1.2.13,none
aioseo-image-seo,active,1.2.5,none
aioseo-index-now,active,1.0.14,none
aioseo-link-assistant,active,1.1.16,none
aioseo-local-business,inactive,1.3.14,none
aioseo-news-sitemap,active,1.0.21,none
aioseo-redirects,inactive,1.4.14,none
aioseo-rest-api,inactive,1.0.9,none
aioseo-video-sitemap,active,1.1.26,none
akismet,active,5.7,none
all-in-one-seo-pack-pro,active,4.9.10,none
broken-link-checker-seo,inactive,1.3.0,none
classic-editor,active,1.7.0,none
classic-widgets,active,0.3,none
download-plugins-dashboard,inactive,1.9.9,none
elementor,active,4.1.4,none
elementor-pro,active,4.1.2,none
eventon-lite,inactive,2.5.5,none
google-analytics-for-wordpress,inactive,10.2.2,none
header-footer-code-manager,active,1.1.45,none
leadin,active,11.3.62,available
image-optimization,inactive,1.7.6,none
optinmonster,inactive,2.16.24,none
shortcodes-ultimate,active,7.8.2,none
google-site-kit,active,1.182.0,none
revslider,active,6.7.57,none
stream,active-network,4.2.2,none
svg-support,active,2.5.16,none
dt-the7-core,active,2.7.13,none
types,active,3.6.1,none
wp-views,active,3.6.21,none
Ultimate_VC_Addons,active,3.21.4,available
js_composer,active,8.7.3,available
wp-rocket,active,3.23,none
duplicate-post,active,4.7,none
slt-force-strong-passwords,must-use,1.8.0,
fsg-suppress-aioseo-warning,must-use,1.0.0,
fsi-event-styles,must-use,"1.0.0  (2026-04-19)",
wpe-cache-plugin,must-use,1.3.0,
wpe-wp-sign-on-plugin,must-use,1.6.2,
wpengine-security-auditor,must-use,1.1.1,
mu-plugin,must-use,6.6.3,
wpe-update-source-selector,must-use,1.1.5,
advanced-cache.php,dropin,,
